a,b,c,d,e,f,g,h,i,j
$ f(n)/\SI{}{kHz} $,0.5,1,1.5,2,2.5,3,3.5,4,4.5
$ |c(n)/\SI{}{dB}| $,10.48,8.66,15.15,-1.58,-51.15,5.32,-2.38,-3.51,-8.77
