a,b,c,d,e,f,g,h,i,j
$ f(n)/\SI{}{kHz} $,0.5,1,1.5,2,2.5,3,3.5,4,4.5
$ |c(n)/\SI{}{dB}| $,15.04,-55.60,5.51,-57.23,-1.02,-60.19,-1.95,-58.79,-4.15
