a,b,c,d,e,f,g,h,i,j
$ f(n)/\SI{}{kHz} $,0.5,1,1.5,2,2.5,3,3.5,4,4.5
$ |c(n)/\SI{}{dB}| $,15.07,-56.37,5.51,-57.79,1.03,-59.42,-1.95,-61.16,-4.15
