a,b,c,d,e,f,g,h,i,j
$ f(n)/\SI{}{kHz} $,0.5,1,1.5,2,2.5,3,3.5,4,4.5
$ |c(n)/\SI{}{dB}| $,11.19,-60.85,-8.09,-71.36,-16.99,-81.12,-22.82,-82.06,-27.33
